Departure Time,Travel Time,Average
5:00 AM-5:15 AM,10:03,64
5:15 AM-5:30 AM,9:57,65
5:30 AM-5:45 AM,10:01,65
5:45 AM-6:00 AM,10:00,65
6:00 AM-6:15 AM,10:18,63
6:15 AM-6:30 AM,11:11,58
6:30 AM-6:45 AM,12:31,52
6:45 AM-7:00 AM,12:38,51
7:00 AM-7:15 AM,11:43,55
7:15 AM-7:30 AM,11:52,55
7:30 AM-7:45 AM,12:17,53
7:45 AM-8:00 AM,12:18,53
8:00 AM-8:15 AM,11:18,57
8:15 AM-8:30 AM,10:51,60
8:30 AM-8:45 AM,10:46,60
8:45 AM-9:00 AM,10:53,60
9:00 AM-9:15 AM,10:39,61
9:15 AM-9:30 AM,10:55,59
9:30 AM-9:45 AM,10:58,59
9:45 AM-10:00 AM,10:55,59
10:00 AM-10:15 AM,10:59,59
10:15 AM-10:30 AM,11:16,58
10:30 AM-10:45 AM,11:17,57
10:45 AM-11:00 AM,11:13,58
11:00 AM-11:15 AM,11:15,58
11:15 AM-11:30 AM,11:22,57
11:30 AM-11:45 AM,11:20,57
11:45 AM-12:00 PM,11:30,56
12:00 PM-12:15 PM,11:29,56
12:15 PM-12:30 PM,11:31,56
12:30 PM-12:45 PM,12:09,53
12:45 PM-1:00 PM,12:09,53
1:00 PM-1:15 PM,11:54,54
1:15 PM-1:30 PM,12:03,54
1:30 PM-1:45 PM,12:32,52
1:45 PM-2:00 PM,12:45,51
2:00 PM-2:15 PM,12:46,51
2:15 PM-2:30 PM,13:04,50
2:30 PM-2:45 PM,13:13,49
2:45 PM-3:00 PM,14:09,46
3:00 PM-3:15 PM,14:30,45
3:15 PM-3:30 PM,15:11,43
3:30 PM-3:45 PM,15:44,41
3:45 PM-4:00 PM,16:32,39
4:00 PM-4:15 PM,17:15,38
4:15 PM-4:30 PM,18:09,36
4:30 PM-4:45 PM,19:39,33
4:45 PM-5:00 PM,20:22,32
5:00 PM-5:15 PM,20:49,31
5:15 PM-5:30 PM,21:38,30
5:30 PM-5:45 PM,21:50,30
5:45 PM-6:00 PM,21:31,30
6:00 PM-6:15 PM,20:26,32
6:15 PM-6:30 PM,19:27,33
6:30 PM-6:45 PM,18:24,35
6:45 PM-7:00 PM,16:26,39
